epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
77,14361.8,0.54301,0.25466,0.00316,0.92814,0.84482,0.8858,0.73522,0.51624,0.35546,0.00612,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,14544.1,0.54665,0.25693,0.0032,0.91731,0.86043,0.8881,0.73552,0.51384,0.34939,0.00607,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,14726.2,0.53836,0.25056,0.00317,0.90915,0.86807,0.88981,0.73954,0.51314,0.34765,0.00605,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,14908.4,0.52809,0.24117,0.0031,0.91906,0.86862,0.89384,0.73735,0.51344,0.35405,0.00602,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,15090.3,0.53055,0.24685,0.00308,0.9205,0.86969,0.89387,0.73864,0.5161,0.35917,0.00605,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,15272.6,0.5315,0.25207,0.00305,0.9121,0.86846,0.88811,0.73606,0.51407,0.35657,0.006,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,15455.2,0.52252,0.24007,0.00305,0.92449,0.85686,0.88577,0.73518,0.51323,0.36403,0.006,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,15637.2,0.52008,0.23539,0.00301,0.92387,0.86078,0.88736,0.73523,0.51405,0.36392,0.00603,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,15819.8,0.52033,0.24398,0.003,0.91771,0.86313,0.88956,0.73565,0.51493,0.36248,0.00606,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,16002.7,0.51566,0.23886,0.00297,0.92378,0.86052,0.89055,0.73745,0.51659,0.36448,0.00609,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,16185.1,0.50893,0.23628,0.00291,0.92945,0.8538,0.88771,0.73579,0.51604,0.3706,0.00608,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,16367.6,0.50944,0.23575,0.00291,0.90496,0.86732,0.88919,0.73552,0.51655,0.36797,0.00608,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,16549.2,0.50584,0.23264,0.0029,0.92169,0.85399,0.88551,0.73456,0.51628,0.37221,0.00606,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,16731.2,0.50189,0.22827,0.00286,0.92068,0.85467,0.88724,0.73508,0.51592,0.37203,0.00605,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,16918.1,0.44846,0.17125,0.00303,0.91201,0.86209,0.88527,0.73479,0.5178,0.37098,0.0061,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,17098.6,0.44074,0.16679,0.00296,0.91887,0.85503,0.88141,0.73054,0.52003,0.3727,0.00613,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,17279.6,0.43749,0.16602,0.00289,0.92008,0.85646,0.87976,0.72923,0.52013,0.3705,0.00613,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,17460.1,0.4336,0.16057,0.00287,0.9299,0.85034,0.8781,0.72946,0.5205,0.37466,0.00615,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,17641.2,0.43151,0.16195,0.00289,0.92002,0.857,0.87763,0.72849,0.52124,0.37554,0.00617,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,17822.5,0.42569,0.1592,0.00279,0.91107,0.86068,0.87612,0.72809,0.52076,0.37869,0.00615,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,18003.1,0.42062,0.15628,0.00272,0.91784,0.85541,0.87575,0.72723,0.52127,0.37855,0.00617,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,18184.8,0.41686,0.15363,0.00271,0.9131,0.86028,0.87516,0.72774,0.52168,0.37698,0.00619,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,18365.8,0.41566,0.15228,0.00269,0.91733,0.85928,0.87708,0.72791,0.52147,0.37952,0.00618,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,18546,0.40919,0.1514,0.00264,0.91594,0.85816,0.8794,0.72763,0.52162,0.37802,0.00617,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
